label,kmeans_cluster
cerebellum - Purkinje cells,13
cerebellum - Purkinje cells,13
cerebellum - Purkinje cells,13
cerebellum - Purkinje cells,13
cerebellum - Purkinje cells,27
cerebellum - Purkinje cells,25
cerebellum - Purkinje cells,13
cerebellum - Purkinje cells,13
cerebellum - Purkinje cells,13
cerebellum - Purkinje cells,27
cerebellum - Purkinje cells,27
cerebellum - Purkinje cells,27
cerebellum - Purkinje cells,27
cerebellum - Purkinje cells,27
cerebellum - Purkinje cells,13
cerebellum - Purkinje cells,13
cerebellum - Purkinje cells,27
cerebellum - Purkinje cells,13
cerebellum - Purkinje cells,27
cerebellum - Purkinje cells,27
cerebellum - Purkinje cells,13
cerebellum - Purkinje cells,2
cerebellum - Purkinje cells,27
cerebellum - Purkinje cells,31
cerebellum - Purkinje cells,13
cerebellum - Purkinje cells,27
cerebellum - Purkinje cells,13
cerebellum - Purkinje cells,8
cerebellum - Purkinje cells,13
cerebellum - Purkinje cells,13
cerebellum - Purkinje cells,13
cerebellum - Purkinje cells,13
cerebellum - Purkinje cells,13
cerebellum - Purkinje cells,13
cerebellum - Purkinje cells,25
cerebellum - Purkinje cells,13
cerebellum - Purkinje cells,13
cerebellum - Purkinje cells,13
cerebellum - Purkinje cells,27
cerebellum - Purkinje cells,13
cerebellum - Purkinje cells,2
