epoch,loss,reconstruction_loss,divergence_loss,stoicheometry_loss,test_loss,test_reconstruction_loss,test_divergence_loss,test_stoicheometry_loss,epochs,batch_size,save_on,n_emb,n_lay,lr,lrelu_slope,batch_norm,dropout,dataset,model_folder,dataset_size,join,refresh_data_on,save_losses_on,test_dataset,test_size,save_test_min,weight_decay,beta_S,main_folder,losses_file,run
30,323.056852,284.6972545,38.3595983,0.0,2067.492285,2038.5969099999998,28.895370800000002,0.0,32,256,0,32,5,0.0001,0.1,False,0.0,./data/samples/single_cells/agren_liver_hepatocytes/splits/250/0,./data/samples/single_cells/agren_liver_hepatocytes/250/,131072,inner,0,1,./data/samples/single_cells/agren_liver_hepatocytes/splits/250//test/,4096,True,0,0.0,./data/tuner/single_cell/agren_liver_hepatocytes/N5000/b256/rep_250/runs/0,./data/tuner/single_cell/agren_liver_hepatocytes/N5000/b256/rep_250/runs/0/losses.csv,0
31,307.3833915,269.384459,37.998931850000005,0.0,2056.293255,2027.544445,28.7488284,0.0,32,256,0,32,5,0.0001,0.1,False,0.0,./data/samples/single_cells/agren_liver_hepatocytes/splits/250/0,./data/samples/single_cells/agren_liver_hepatocytes/250/,131072,inner,0,1,./data/samples/single_cells/agren_liver_hepatocytes/splits/250//test/,4096,True,0,0.0,./data/tuner/single_cell/agren_liver_hepatocytes/N5000/b256/rep_250/runs/0,./data/tuner/single_cell/agren_liver_hepatocytes/N5000/b256/rep_250/runs/0/losses.csv,0
0,3025.1955225,2986.379475,38.816052275,0.0,3095.6339675,3051.950215,43.683754625,0.0,32,256,0,32,5,0.0001,0.1,False,0.0,./data/samples/single_cells/agren_liver_hepatocytes/splits/250/1,./data/samples/single_cells/agren_liver_hepatocytes/250/,131072,inner,0,1,./data/samples/single_cells/agren_liver_hepatocytes/splits/250//test/,4096,True,0,0.0,./data/tuner/single_cell/agren_liver_hepatocytes/N5000/b256/rep_250/runs/1,./data/tuner/single_cell/agren_liver_hepatocytes/N5000/b256/rep_250/runs/1/losses.csv,1
1,2469.33527,2439.656185,29.67909105,0.0,2678.8196825,2651.945945,26.87376045,0.0,32,256,0,32,5,0.0001,0.1,False,0.0,./data/samples/single_cells/agren_liver_hepatocytes/splits/250/1,./data/samples/single_cells/agren_liver_hepatocytes/250/,131072,inner,0,1,./data/samples/single_cells/agren_liver_hepatocytes/splits/250//test/,4096,True,0,0.0,./data/tuner/single_cell/agren_liver_hepatocytes/N5000/b256/rep_250/runs/1,./data/tuner/single_cell/agren_liver_hepatocytes/N5000/b256/rep_250/runs/1/losses.csv,1
2,2184.2554575000004,2154.7041550000004,29.551315549999998,0.0,2495.55555,2469.27555,26.279989475,0.0,32,256,0,32,5,0.0001,0.1,False,0.0,./data/samples/single_cells/agren_liver_hepatocytes/splits/250/1,./data/samples/single_cells/agren_liver_hepatocytes/250/,131072,inner,0,1,./data/samples/single_cells/agren_liver_hepatocytes/splits/250//test/,4096,True,0,0.0,./data/tuner/single_cell/agren_liver_hepatocytes/N5000/b256/rep_250/runs/1,./data/tuner/single_cell/agren_liver_hepatocytes/N5000/b256/rep_250/runs/1/losses.csv,1
3,1882.7163349999998,1849.6225675,33.093777425,0.0,2316.5165,2287.6245275,28.891988025,0.0,32,256,0,32,5,0.0001,0.1,False,0.0,./data/samples/single_cells/agren_liver_hepatocytes/splits/250/1,./data/samples/single_cells/agren_liver_hepatocytes/250/,131072,inner,0,1,./data/samples/single_cells/agren_liver_hepatocytes/splits/250//test/,4096,True,0,0.0,./data/tuner/single_cell/agren_liver_hepatocytes/N5000/b256/rep_250/runs/1,./data/tuner/single_cell/agren_liver_hepatocytes/N5000/b256/rep_250/runs/1/losses.csv,1
4,1626.5905175,1589.540685,37.049825025000004,0.0,2180.5002125,2148.5373824999997,31.962834700000002,0.0,32,256,0,32,5,0.0001,0.1,False,0.0,./data/samples/single_cells/agren_liver_hepatocytes/splits/250/1,./data/samples/single_cells/agren_liver_hepatocytes/250/,131072,inner,0,1,./data/samples/single_cells/agren_liver_hepatocytes/splits/250//test/,4096,True,0,0.0,./data/tuner/single_cell/agren_liver_hepatocytes/N5000/b256/rep_250/runs/1,./data/tuner/single_cell/agren_liver_hepatocytes/N5000/b256/rep_250/runs/1/losses.csv,1
5,1420.312135,1379.8788775,40.43326265,0.0,2084.1909100000003,2050.5855975,33.605331424999996,0.0,32,256,0,32,5,0.0001,0.1,False,0.0,./data/samples/single_cells/agren_liver_hepatocytes/splits/250/1,./data/samples/single_cells/agren_liver_hepatocytes/250/,131072,inner,0,1,./data/samples/single_cells/agren_liver_hepatocytes/splits/250//test/,4096,True,0,0.0,./data/tuner/single_cell/agren_liver_hepatocytes/N5000/b256/rep_250/runs/1,./data/tuner/single_cell/agren_liver_hepatocytes/N5000/b256/rep_250/runs/1/losses.csv,1
6,1246.24036,1202.6538475,43.586513925,0.0,2029.8040675,1994.99806,34.8060115,0.0,32,256,0,32,5,0.0001,0.1,False,0.0,./data/samples/single_cells/agren_liver_hepatocytes/splits/250/1,./data/samples/single_cells/agren_liver_hepatocytes/250/,131072,inner,0,1,./data/samples/single_cells/agren_liver_hepatocytes/splits/250//test/,4096,True,0,0.0,./data/tuner/single_cell/agren_liver_hepatocytes/N5000/b256/rep_250/runs/1,./data/tuner/single_cell/agren_liver_hepatocytes/N5000/b256/rep_250/runs/1/losses.csv,1
7,1079.2766729999998,1032.28030275,46.99636915,0.0,1997.3907975000002,1961.1237525000001,36.2670375,0.0,32,256,0,32,5,0.0001,0.1,False,0.0,./data/samples/single_cells/agren_liver_hepatocytes/splits/250/1,./data/samples/single_cells/agren_liver_hepatocytes/250/,131072,inner,0,1,./data/samples/single_cells/agren_liver_hepatocytes/splits/250//test/,4096,True,0,0.0,./data/tuner/single_cell/agren_liver_hepatocytes/N5000/b256/rep_250/runs/1,./data/tuner/single_cell/agren_liver_hepatocytes/N5000/b256/rep_250/runs/1/losses.csv,1
