epoch,loss,reconstruction_loss,divergence_loss,test_loss,test_rec,test_div,epochs,batch_size,save_on,n_emb,n_lay,lr,lrelu_slope,batch_norm,dropout,dataset,model_folder,dataset_size,join,refresh_data_on,save_losses_on,test_dataset,test_size,main_folder,losses_file,run
30,493.8743085,450.32714749999997,43.5471609,2476.27376,2446.92667,29.3471144,32,256,0,32,5,0.0001,0.1,False,0.0,./data/samples/single_cells/agren_liver_hepatocytes/splits/250/0,./data/samples/single_cells/agren_liver_hepatocytes/250/,65536,inner,0,1,./data/samples/single_cells/agren_liver_hepatocytes/splits/250//test/,4096,./data/tuner/single_cell/agren_liver_hepatocytes/rep_250/runs/0,./data/tuner/single_cell/agren_liver_hepatocytes/rep_250/runs/0/losses.csv,0
31,465.79612749999995,422.74158100000005,43.05454895,2457.677235,2428.530355,29.1468365,32,256,0,32,5,0.0001,0.1,False,0.0,./data/samples/single_cells/agren_liver_hepatocytes/splits/250/0,./data/samples/single_cells/agren_liver_hepatocytes/250/,65536,inner,0,1,./data/samples/single_cells/agren_liver_hepatocytes/splits/250//test/,4096,./data/tuner/single_cell/agren_liver_hepatocytes/rep_250/runs/0,./data/tuner/single_cell/agren_liver_hepatocytes/rep_250/runs/0/losses.csv,0
0,3404.5143125000004,3365.70156,38.8127633,3493.9865425000003,3456.5069025,37.479599475,32,256,0,32,5,0.0001,0.1,False,0.0,./data/samples/single_cells/agren_liver_hepatocytes/splits/250/1,./data/samples/single_cells/agren_liver_hepatocytes/250/,65536,inner,0,1,./data/samples/single_cells/agren_liver_hepatocytes/splits/250//test/,4096,./data/tuner/single_cell/agren_liver_hepatocytes/rep_250/runs/1,./data/tuner/single_cell/agren_liver_hepatocytes/rep_250/runs/1/losses.csv,1
1,2779.4649125,2748.7505275,30.714400175,3041.69653,3014.2402475,27.456268425,32,256,0,32,5,0.0001,0.1,False,0.0,./data/samples/single_cells/agren_liver_hepatocytes/splits/250/1,./data/samples/single_cells/agren_liver_hepatocytes/250/,65536,inner,0,1,./data/samples/single_cells/agren_liver_hepatocytes/splits/250//test/,4096,./data/tuner/single_cell/agren_liver_hepatocytes/rep_250/runs/1,./data/tuner/single_cell/agren_liver_hepatocytes/rep_250/runs/1/losses.csv,1
2,2534.1727575,2504.46782,29.7049252,2895.16568,2868.5169425,26.648733600000003,32,256,0,32,5,0.0001,0.1,False,0.0,./data/samples/single_cells/agren_liver_hepatocytes/splits/250/1,./data/samples/single_cells/agren_liver_hepatocytes/250/,65536,inner,0,1,./data/samples/single_cells/agren_liver_hepatocytes/splits/250//test/,4096,./data/tuner/single_cell/agren_liver_hepatocytes/rep_250/runs/1,./data/tuner/single_cell/agren_liver_hepatocytes/rep_250/runs/1/losses.csv,1
3,2268.0626825,2235.95184,32.110848475,2744.1799975000004,2716.21008,27.969921975,32,256,0,32,5,0.0001,0.1,False,0.0,./data/samples/single_cells/agren_liver_hepatocytes/splits/250/1,./data/samples/single_cells/agren_liver_hepatocytes/250/,65536,inner,0,1,./data/samples/single_cells/agren_liver_hepatocytes/splits/250//test/,4096,./data/tuner/single_cell/agren_liver_hepatocytes/rep_250/runs/1,./data/tuner/single_cell/agren_liver_hepatocytes/rep_250/runs/1/losses.csv,1
4,1986.1586899999998,1948.723885,37.434801525,2592.7048025,2561.5591400000003,31.145655325,32,256,0,32,5,0.0001,0.1,False,0.0,./data/samples/single_cells/agren_liver_hepatocytes/splits/250/1,./data/samples/single_cells/agren_liver_hepatocytes/250/,65536,inner,0,1,./data/samples/single_cells/agren_liver_hepatocytes/splits/250//test/,4096,./data/tuner/single_cell/agren_liver_hepatocytes/rep_250/runs/1,./data/tuner/single_cell/agren_liver_hepatocytes/rep_250/runs/1/losses.csv,1
5,1748.4539424999998,1707.1699024999998,41.2840358,2478.4505325,2445.192365,33.258144425,32,256,0,32,5,0.0001,0.1,False,0.0,./data/samples/single_cells/agren_liver_hepatocytes/splits/250/1,./data/samples/single_cells/agren_liver_hepatocytes/250/,65536,inner,0,1,./data/samples/single_cells/agren_liver_hepatocytes/splits/250//test/,4096,./data/tuner/single_cell/agren_liver_hepatocytes/rep_250/runs/1,./data/tuner/single_cell/agren_liver_hepatocytes/rep_250/runs/1/losses.csv,1
6,1534.0724050000001,1488.5927100000001,45.4796949,2427.3920024999998,2391.9931075,35.398924625,32,256,0,32,5,0.0001,0.1,False,0.0,./data/samples/single_cells/agren_liver_hepatocytes/splits/250/1,./data/samples/single_cells/agren_liver_hepatocytes/250/,65536,inner,0,1,./data/samples/single_cells/agren_liver_hepatocytes/splits/250//test/,4096,./data/tuner/single_cell/agren_liver_hepatocytes/rep_250/runs/1,./data/tuner/single_cell/agren_liver_hepatocytes/rep_250/runs/1/losses.csv,1
7,1333.0125825,1282.2296625000001,50.782918075,2397.1266725,2359.6725300000003,37.454142725000004,32,256,0,32,5,0.0001,0.1,False,0.0,./data/samples/single_cells/agren_liver_hepatocytes/splits/250/1,./data/samples/single_cells/agren_liver_hepatocytes/250/,65536,inner,0,1,./data/samples/single_cells/agren_liver_hepatocytes/splits/250//test/,4096,./data/tuner/single_cell/agren_liver_hepatocytes/rep_250/runs/1,./data/tuner/single_cell/agren_liver_hepatocytes/rep_250/runs/1/losses.csv,1
