epoch,loss,reconstruction_loss,divergence_loss,test_loss,test_rec,test_div,epochs,batch_size,save_on,n_emb,n_lay,lr,lrelu_slope,batch_norm,dropout,dataset,model_folder,dataset_size,join,refresh_data_on,save_losses_on,test_dataset,test_size,main_folder,losses_file,run
3,3611.2404325,3586.1363725,25.10406465,3898.222465,3876.5330425,21.6894228,32,256,0,32,5,0.0001,0.1,False,0.0,./data/samples/single_cells/agren_liver_hepatocytes/splits/5000/1,./data/samples/single_cells/agren_liver_hepatocytes/5000/,65536,inner,0,1,./data/samples/single_cells/agren_liver_hepatocytes/splits/5000//test/,4096,./data/tuner/single_cell/agren_liver_hepatocytes/rep_5000/runs/1,./data/tuner/single_cell/agren_liver_hepatocytes/rep_5000/runs/1/losses.csv,1
4,3352.6474675,3322.5206700000003,30.126813700000003,3834.5035225,3810.71857,23.784953625,32,256,0,32,5,0.0001,0.1,False,0.0,./data/samples/single_cells/agren_liver_hepatocytes/splits/5000/1,./data/samples/single_cells/agren_liver_hepatocytes/5000/,65536,inner,0,1,./data/samples/single_cells/agren_liver_hepatocytes/splits/5000//test/,4096,./data/tuner/single_cell/agren_liver_hepatocytes/rep_5000/runs/1,./data/tuner/single_cell/agren_liver_hepatocytes/rep_5000/runs/1/losses.csv,1
5,3044.1808575,3005.5362075000003,38.644645225,3807.8607675,3780.76743,27.09332445,32,256,0,32,5,0.0001,0.1,False,0.0,./data/samples/single_cells/agren_liver_hepatocytes/splits/5000/1,./data/samples/single_cells/agren_liver_hepatocytes/5000/,65536,inner,0,1,./data/samples/single_cells/agren_liver_hepatocytes/splits/5000//test/,4096,./data/tuner/single_cell/agren_liver_hepatocytes/rep_5000/runs/1,./data/tuner/single_cell/agren_liver_hepatocytes/rep_5000/runs/1/losses.csv,1
6,2701.4017075,2653.30428,48.0973987,3806.9487050000002,3777.0764725,29.872240525000002,32,256,0,32,5,0.0001,0.1,False,0.0,./data/samples/single_cells/agren_liver_hepatocytes/splits/5000/1,./data/samples/single_cells/agren_liver_hepatocytes/5000/,65536,inner,0,1,./data/samples/single_cells/agren_liver_hepatocytes/splits/5000//test/,4096,./data/tuner/single_cell/agren_liver_hepatocytes/rep_5000/runs/1,./data/tuner/single_cell/agren_liver_hepatocytes/rep_5000/runs/1/losses.csv,1
7,2385.5418474999997,2329.9497225,55.592107625000004,3806.0025200000005,3774.2133999999996,31.789129225,32,256,0,32,5,0.0001,0.1,False,0.0,./data/samples/single_cells/agren_liver_hepatocytes/splits/5000/1,./data/samples/single_cells/agren_liver_hepatocytes/5000/,65536,inner,0,1,./data/samples/single_cells/agren_liver_hepatocytes/splits/5000//test/,4096,./data/tuner/single_cell/agren_liver_hepatocytes/rep_5000/runs/1,./data/tuner/single_cell/agren_liver_hepatocytes/rep_5000/runs/1/losses.csv,1
8,2144.035205,2084.371415,59.6638042,3804.0786975,3771.2349225,32.8437554,32,256,0,32,5,0.0001,0.1,False,0.0,./data/samples/single_cells/agren_liver_hepatocytes/splits/5000/1,./data/samples/single_cells/agren_liver_hepatocytes/5000/,65536,inner,0,1,./data/samples/single_cells/agren_liver_hepatocytes/splits/5000//test/,4096,./data/tuner/single_cell/agren_liver_hepatocytes/rep_5000/runs/1,./data/tuner/single_cell/agren_liver_hepatocytes/rep_5000/runs/1/losses.csv,1
9,1943.7902125,1882.1389475,61.651261725,3795.0793325,3761.649075,33.430251175,32,256,0,32,5,0.0001,0.1,False,0.0,./data/samples/single_cells/agren_liver_hepatocytes/splits/5000/1,./data/samples/single_cells/agren_liver_hepatocytes/5000/,65536,inner,0,1,./data/samples/single_cells/agren_liver_hepatocytes/splits/5000//test/,4096,./data/tuner/single_cell/agren_liver_hepatocytes/rep_5000/runs/1,./data/tuner/single_cell/agren_liver_hepatocytes/rep_5000/runs/1/losses.csv,1
10,1778.6290000000001,1716.0336275000002,62.595370175000006,3785.9777275,3752.532325,33.445413325,32,256,0,32,5,0.0001,0.1,False,0.0,./data/samples/single_cells/agren_liver_hepatocytes/splits/5000/1,./data/samples/single_cells/agren_liver_hepatocytes/5000/,65536,inner,0,1,./data/samples/single_cells/agren_liver_hepatocytes/splits/5000//test/,4096,./data/tuner/single_cell/agren_liver_hepatocytes/rep_5000/runs/1,./data/tuner/single_cell/agren_liver_hepatocytes/rep_5000/runs/1/losses.csv,1
11,1678.1062375000001,1614.58358,63.522647625000005,3789.198845,3754.705715,34.493131675,32,256,0,32,5,0.0001,0.1,False,0.0,./data/samples/single_cells/agren_liver_hepatocytes/splits/5000/1,./data/samples/single_cells/agren_liver_hepatocytes/5000/,65536,inner,0,1,./data/samples/single_cells/agren_liver_hepatocytes/splits/5000//test/,4096,./data/tuner/single_cell/agren_liver_hepatocytes/rep_5000/runs/1,./data/tuner/single_cell/agren_liver_hepatocytes/rep_5000/runs/1/losses.csv,1
12,1562.36404,1498.950295,63.413741449999996,3778.8562475,3744.6556649999998,34.200581725,32,256,0,32,5,0.0001,0.1,False,0.0,./data/samples/single_cells/agren_liver_hepatocytes/splits/5000/1,./data/samples/single_cells/agren_liver_hepatocytes/5000/,65536,inner,0,1,./data/samples/single_cells/agren_liver_hepatocytes/splits/5000//test/,4096,./data/tuner/single_cell/agren_liver_hepatocytes/rep_5000/runs/1,./data/tuner/single_cell/agren_liver_hepatocytes/rep_5000/runs/1/losses.csv,1
